prompt,response
I have never done programming in my life. Can I take this bootcamp?,"Yes, this is the perfect bootcamp for anyone who has never done coding and wants to build a career in the IT/Data Analytics industry or just wants to perform better in your current job or business using data."
Why should I trust Sankar Academy?,Till now 9000 + learners have benefitted from the quality of our courses. You can check the review section and also we have attached their LinkedIn profiles so that you can connect with them and ask directly.
Is there any prerequisite for taking this bootcamp ?,"Our bootcamp is specifically designed for beginners with no prior experience in this field. The only prerequisite is that you need to have a functional laptop with at least 4GB ram, an internet connection, and a thrill to learn data analysis."
"What datasets are used in this bootcamp? Is it some toy datasets or
 something that mimics a real-world business problem?",The datasets used in this bootcamp are crafted from scratch to mimic the real business world by consolidating our years of experience. The datasets not just contain more than a million rows but also cover multiple facets of the business.
"I’m not sure if this bootcamp is good enough for me to invest some 
money. What can I do?",We got you covered. Go ahead and watch our youtube videos if you like them and want to learn further then this bootcamp is the perfect extension.
How can I contact the instructors for any doubts/support?,"We have created every lecture with a motive to explain everything in an easy-to-understand manner. While working on these lectures you could make mistakes in steps or have some doubts. You need to commit yourself to hold patience, make efforts & diagnose the errors yourself by googling in order to become truly job ready. For any questions, that Google cannot answer or if you hit a wall - we got you covered! You can join our active discord community. which is a dedicated platform to discuss & clear your doubts with fellow learners & mentors. "
What if I don’t like this bootcamp?,As promised we will give you a 100% refund based on the guidelines (Please refer to our course refund policy before enrolling).
Does this bootcamp have lifetime access?,Yes
What is the duration of this bootcamp? How long will it last?,You can complete all courses in 3 months if you dedicate 2-3 hours per day.
Can I attend this bootcamp while working full time?,Yes. This bootcamp is self-paced. You can learn on your own schedule.
What kind of skills can I expect to learn in this bootcamp?,"You can expect to learn tech skills like Python, Excel, SQL, and Power BI along with other skills like basic project management, stakeholder management, communication skills, and Business knowledge for domains like Finance, Supply chain, Sales, and Marketing."
Do you provide any job assistance?,"Yes, We help you with resume and interview preparation along with that we help you in building online credibility, and based on requirements we refer candidates to potential recruiters."
"Is this bootcamp enough for me in Microsoft Power BI and
 Excel certifications?","Yes, this bootcamp will certainly help because we cover the majority of the skills measured in these exams. However, please be informed that this course focuses on Job ready aspects and not on all aspects required to clear the exams. In addition to this course, you might need to visit the official learning material designed by Microsoft which is available for free on their website."
Do we have an EMI option?,No
Do you provide any virtual internship?,Yes 
Will this bootcamp guarantee me a job?,"The courses included in this bootcamp are done by 9000+ learners and many of them have secured a job which gives us ample confidence that you will be able to get a job. However, we want to be honest and do not want to make any impractical promises! Our guarantee is to prepare you for the job market by teaching the most relevant skills, knowledge & timeless principles good enough to fetch the job."
"I have zero knowledge of Excel and belong to a non-technical
 background. Can I take this course?","Yes, this is the perfect course for anyone who has never worked on excel and wants to build a career in the IT/Data Analytics industry or just wants to perform better in their current job or business using data."
What are the things I need to know before starting this course?,This course is for absolute beginners hence you do not need any specific skills other than basic familiarity with computers
What is different in this course compared to hundreds of courses on the internet and free tutorials on YouTube?,Most of the courses available on the internet teach you how to build x & y without any business context and do not prepare you for real business world problem-solving. This course is rather an experience in which you will learn Excel by solving real-life use cases in an imaginary company called AtliQ Hardware. The tutorials are very easy to understand and also have a lot of fun elements into them so that you don’t get bored ??
Can I add this course to my resume?,Yes. Absolutely you can mention the AtliQ Hardware project experience in your resume with the relevant skills that you will learn from this course
I’m not sure if this course is good enough for me to invest some money. What can I do?,"Don’t worry. Many videos in this course are free so watch them to get an idea of the quality of teaching. Dhaval Patel (the course instructor) runs a popular data science YouTube channel called Sankar Academy. On that, you can watch his videos and read comments to get an idea of his teaching style"
What dataset is used in this course? Is it some toy dataset or something that mimics a real-world problem?,"For initial basics, we have used a toy dataset of movies but for advanced concepts, we used a dataset that is crafted to mimic the real business world by consolidating our years of experience and the FMCG industry. That dataset contains more than 1 million records."
"Once purchased, is this course available for lifetime access?",Yes
How can I get help if I have a doubt and need support?,We have an active discord server where you can post your question and most of the time you will get an answer in a reasonable time frame.
I have never done programming and belong to a non-technical background. Can I take this course?,"Yes, this is the perfect course for anyone who has never done coding and wants to build a career in the IT/Data Analytics industry or just wants to perform better in their current job or business using data."
"
I don’t have a laptop, can I take this course?",We recommend learning by doing and therefore you need to have a laptop or a PC (at least 4 GB ram).
Will the course help me in PL - 300 Microsoft exam preparation?,"Yes, this course will certainly help because we cover the majority of the skills measured in the PL - 300 exam in this course. However, please be informed that this course focuses on Job ready aspects and not on all aspects required to clear PL - 300 exam. In addition to this course, you might need to visit the official learning material designed by Microsoft which is available for free -> https://docs.microsoft.com/en-us/certifications/exams/pl-300?tab=tab-learning-paths"
Will the course be upgraded when there are new features in Power BI?,"Yes, the course will be upgraded periodically based on the new features in Power BI, and learners who have already bought this course will have free access to the upgrades."
"I use tableau, can I take this course?","Yes, you will still benefit from the concepts outside the tools that are discussed in this course such as business context, problem solving, project management tools, etc."
"
Power BI or Tableau which one is better?","This is a contextual question. If you are talking about a pure visualization tool Tableau is slightly better. Data connectors, modeling and transformation features are available in both. However, factually speaking Power BI is cheaper and offers tighter integration with the Microsoft environment. Since most companies use excel & Microsoft tools they start with Power BI or move towards Power BI for seamless integration with other Microsoft tools (called as Power platform). This makes the job openings grow at a much higher rate on Power BI and Power Platform. Also, Power BI has been leading the Gartner’s magic quadrant in BI for the last few years as the industry leader."
What dataset is used in this course? Is it some Toy dataset or something that mimics a real-world business problem?,"The dataset used in this course is crafted from scratch to mimic the real business world by consolidating our years of experience. The dataset not just contains more than a million rows but also covers multiple facets of business data such as sales, finance, targets, forecasts, products, etc."
Does Power BI work in Mac OS/Ubuntu?,"Power BI desktop works only in Windows OS. Please look into the system requirements section on this page. However, you can use a virtual machine to install and work with Power BI in other Operating systems."
